=== Kernel Summary (sorted by cuda_time_total) ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       8.151ms       110.27%       8.151ms       8.151ms             1  
           _kernel_linesearch_c486_0_kernel_1_range_for         0.00%       0.000us         0.00%       0.000us       0.000us       1.370ms        18.54%       1.370ms     137.014us            10  
             func_broad_phase_c400_0_kernel_2_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     866.432us        11.72%     866.432us     866.432us             1  
add_inequality_constraints_c466_0_kernel_3_range_for...         0.00%       0.000us         0.00%       0.000us       0.000us     708.416us         9.58%     708.416us     708.416us             1  
_kernel_newton_only_nt_hessian_c496_0_kernel_1_range...         0.00%       0.000us         0.00%       0.000us       0.000us     651.389us         8.81%     651.389us      65.139us            10  
_kernel_newton_only_nt_hessian_c496_0_kernel_3_range...         0.00%       0.000us         0.00%       0.000us       0.000us     505.184us         6.83%     505.184us      50.518us            10  
      _kernel_update_gradient_c498_0_kernel_1_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     410.978us         5.56%     410.978us      41.098us            10  
                kernel_step_1_c502_0_kernel_5_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     408.960us         5.53%     408.960us     408.960us             1  
_kernel_update_constraint_cost_c494_0_kernel_1_range...         0.00%       0.000us         0.00%       0.000us       0.000us     244.064us         3.30%     244.064us      24.406us            10  
                kernel_step_2_c504_0_kernel_9_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     232.928us         3.15%     232.928us     232.928us             1  
              func_solve_init_c472_0_kernel_7_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     175.264us         2.37%     175.264us     175.264us             1  
              func_solve_init_c472_0_kernel_5_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     159.680us         2.16%     159.680us     159.680us             1  
_kernel_update_constraint_forces_c490_0_kernel_1_ran...         0.00%       0.000us         0.00%       0.000us       0.000us     148.928us         2.01%     148.928us      14.893us            10  
               kernel_step_1_c502_0_kernel_10_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     146.432us         1.98%     146.432us     146.432us             1  
             func_solve_init_c472_0_kernel_10_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     138.240us         1.87%     138.240us     138.240us             1  
             func_solve_init_c472_0_kernel_12_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     131.840us         1.78%     131.840us     131.840us             1  
           func_sort_contacts_c408_0_kernel_1_range_for         0.00%       0.000us         0.00%       0.000us       0.000us     116.032us         1.57%     116.032us     116.032us             1  
